tiempo,x,y,vx,vy
0.0,0.0,0.0,50.0,30.0
0.01,0.5,0.2995095,50.0,29.9019
0.02,1.0,0.598038,50.0,29.8038
0.03,1.5,0.8955854999999999,50.0,29.7057
0.04,2.0,1.1921519999999999,50.0,29.6076
0.05,2.5,1.4877375,50.0,29.5095
0.06,3.0,1.7823419999999999,50.0,29.4114
0.07,3.5000000000000004,2.0759655,50.0,29.313299999999998
0.08,4.0,2.368608,50.0,29.2152
0.09,4.5,2.6602694999999996,50.0,29.1171
0.1,5.0,2.95095,50.0,29.019
0.11,5.5,3.2406495,50.0,28.9209
0.12,6.0,3.529368,50.0,28.8228
0.13,6.5,3.8171055000000003,50.0,28.7247
0.14,7.000000000000001,4.103862,50.0,28.6266
0.15,7.5,4.3896375,50.0,28.5285
0.16,8.0,4.6744319999999995,50.0,28.4304
0.17,8.5,4.9582455,50.0,28.3323
0.18,9.0,5.241078,50.0,28.2342
0.19,9.5,5.5229295,50.0,28.1361
0.2,10.0,5.8038,50.0,28.038
0.21,10.5,6.0836895,50.0,27.9399
0.22,11.0,6.362597999999999,50.0,27.8418
0.23,11.5,6.640525500000001,50.0,27.7437
0.24,12.0,6.917471999999999,50.0,27.6456
0.25,12.5,7.1934375,50.0,27.5475
0.26,13.0,7.468422,50.0,27.4494
0.27,13.5,7.742425500000001,50.0,27.3513
0.28,14.000000000000002,8.015448000000001,50.0,27.2532
0.29,14.499999999999998,8.2874895,50.0,27.1551
0.3,15.0,8.55855,50.0,27.057
0.31,15.5,8.8286295,50.0,26.9589
0.32,16.0,9.097728,50.0,26.8608
0.33,16.5,9.3658455,50.0,26.7627
0.34,17.0,9.632982,50.0,26.6646
0.35000000000000003,17.5,9.899137500000002,50.0,26.566499999999998
0.36,18.0,10.164311999999999,50.0,26.4684
0.37,18.5,10.4285055,50.0,26.3703
0.38,19.0,10.691718,50.0,26.272199999999998
0.39,19.5,10.9539495,50.0,26.1741
0.4,20.0,11.2152,50.0,26.076
0.41000000000000003,20.5,11.4754695,50.0,25.977899999999998
0.42,21.0,11.734758,50.0,25.8798
0.43,21.5,11.9930655,50.0,25.7817
0.44,22.0,12.250392,50.0,25.6836
0.45,22.5,12.5067375,50.0,25.5855
0.46,23.0,12.762102,50.0,25.4874
0.47000000000000003,23.5,13.016485500000002,50.0,25.3893
0.48,24.0,13.269887999999998,50.0,25.2912
0.49,24.5,13.522309499999999,50.0,25.1931
0.5,25.0,13.77375,50.0,25.095
0.51,25.5,14.024209500000001,50.0,24.9969
0.52,26.0,14.273688000000002,50.0,24.8988
0.53,26.5,14.5221855,50.0,24.8007
0.54,27.0,14.769702000000002,50.0,24.7026
0.55,27.500000000000004,15.016237499999999,50.0,24.604499999999998
0.56,28.000000000000004,15.261792,50.0,24.5064
0.5700000000000001,28.500000000000004,15.506365500000001,50.0,24.408299999999997
0.58,28.999999999999996,15.749958,50.0,24.310200000000002
0.59,29.5,15.9925695,50.0,24.2121
0.6,30.0,16.2342,50.0,24.114
0.61,30.5,16.4748495,50.0,24.015900000000002
0.62,31.0,16.714518,50.0,23.9178
0.63,31.5,16.9532055,50.0,23.819699999999997
0.64,32.0,17.190911999999997,50.0,23.7216
0.65,32.5,17.4276375,50.0,23.6235
0.66,33.0,17.663382,50.0,23.525399999999998
0.67,33.5,17.898145500000002,50.0,23.4273
0.68,34.0,18.131928000000002,50.0,23.3292
0.6900000000000001,34.5,18.364729500000003,50.0,23.231099999999998
0.7000000000000001,35.0,18.596550000000004,50.0,23.133
0.71,35.5,18.827389499999995,50.0,23.0349
0.72,36.0,19.057247999999998,50.0,22.936799999999998
0.73,36.5,19.286125499999997,50.0,22.8387
0.74,37.0,19.514022,50.0,22.7406
0.75,37.5,19.7409375,50.0,22.6425
0.76,38.0,19.966872000000002,50.0,22.5444
0.77,38.5,20.1918255,50.0,22.4463
0.78,39.0,20.415798000000002,50.0,22.3482
0.79,39.5,20.6387895,50.0,22.2501
0.8,40.0,20.860799999999998,50.0,22.152
0.81,40.5,21.0818295,50.0,22.0539
0.8200000000000001,41.0,21.301878000000002,50.0,21.955799999999996
0.8300000000000001,41.5,21.520945500000003,50.0,21.8577
0.84,42.0,21.739031999999998,50.0,21.7596
0.85,42.5,21.9561375,50.0,21.6615
0.86,43.0,22.172262,50.0,21.5634
0.87,43.5,22.3874055,50.0,21.4653
0.88,44.0,22.601568,50.0,21.367199999999997
